Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Volleyball,Volleyball,volleyball,M,"RIBEIRO, Amauri",Men,BRA,0,1,0
Aquatics,Swimming,200m breaststroke,W,"RAPP, Susan Gerard",Women,USA,0,1,0
Aquatics,Water polo,water polo,M,"CHALMOWSKY, Santiago",Men,FRG,1,0,0
Hockey,Hockey,hockey,M,"SCHMIDT-OPPER, Ekkhard",Men,FRG,0,1,0
Judo,Judo,- 60 kg,M,"HOSOKAWA, Shinji",Men,JPN,0,0,1
Basketball,Basketball,basketball,M,"KNEGO, Andro",Men,YUG,1,0,0
Aquatics,Swimming,400m freestyle,M,"DICARLO, George Thomas",Men,USA,0,0,1
Rowing,Rowing,eight with coxswain (8+),M,"WILLOUGHBY, Timothy",Men,AUS,1,0,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"THOMPSON, Lesley Allison",Women,CAN,0,1,0
Volleyball,Volleyball,volleyball,M,"MARLOWE, Christian",Men,USA,0,0,1
Cycling,Cycling Track,Team Pursuit (4000m),M,"MARX, Michael",Men,FRG,1,0,0
Fencing,Fencing,sabre team,M,"LAMOUR, Jean-Francois",Men,FRA,0,1,0
Archery,Archery,individual FITA round,W,"LI, Ling-Juan",Women,CHN,0,1,0
Handball,Handball,handball,W,"WU, Xing-Jiang",Women,CHN,1,0,0
Rowing,Rowing,pair without coxswain (2-),W,"SMITH, Patricia",Women,CAN,0,1,0
Basketball,Basketball,basketball,M,"MULLIN, Christopher Paul",Men,USA,0,0,1
Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single),M,"EICKE, Ulrich",Men,FRG,0,0,1
Wrestling,Wrestling Free.,90 - 100kg (heavyweight),M,"PUSCASU, Vasile",Men,ROU,1,0,0
Rowing,Rowing,four without coxswain (4-),M,"FORNEY, Alan Michael",Men,USA,0,1,0
Athletics,Athletics,4x100m relay,W,"JACOBS, Simmone",Women,GBR,1,0,0
Fencing,Fencing,foil team,M,"SCURI, Angelo",Men,ITA,0,0,1
Wrestling,Wrestling Free.,90 - 100kg (heavyweight),M,"ATIYEH, Josep",Men,SYR,0,1,0
Aquatics,Swimming,200m freestyle,W,"WOODHEAD, Cynthia Lee",Women,USA,0,1,0
Boxing,Boxing,51 - 54kg (bantamweight),M,"LOPEZ, Hector",Men,MEX,0,1,0
Sailing,Sailing,Tornado - Multihull,X,"GLASER, Jay",Men,USA,0,1,0
Aquatics,Swimming,400m freestyle,M,"MYKKANEN, John Cary",Men,USA,0,1,0
Handball,Handball,handball,W,"PAVISEVIC, Zorica",Women,YUG,0,0,1
Athletics,Athletics,400m hurdles,W,"EL MOUTAWAKEL, Nawal",Women,MAR,0,0,1
Boxing,Boxing,67 - 71kg (light-middleweight),M,"TIOZZO, Christophe",Men,FRA,1,0,0
Sailing,Sailing,flying dutchman,X,"MCLAUGHLIN, Terence",Men,CAN,0,1,0
Fencing,Fencing,sabre team,M,"SCALZO, Giovanni",Men,ITA,0,0,1
Basketball,Basketball,basketball,W,"ZHANG, Hui",Women,CHN,1,0,0
Hockey,Hockey,hockey,W,"DE BEUS, Bernadette",Women,NED,0,0,1
Athletics,Athletics,400m hurdles,M,"MOSES, Edwin",Men,USA,0,0,1
Aquatics,Swimming,4x100m freestyle relay,M,"FASALA, Gregory",Men,AUS,0,1,0
Football,Football,football,M,"MRKELA, Mitar",Men,YUG,1,0,0
Fencing,Fencing,foil team,W,"OROS, Rozalia",Women,ROU,0,1,0
Cycling,Cycling Track,Team Pursuit (4000m),M,"MCDONOUGH, R.Patrick",Men,USA,0,1,0
Hockey,Hockey,hockey,W,"VAN DOORN, Marieke Birgitta",Women,NED,0,0,1
Gymnastics,Artistic G.,team competition,W,"WU, Jia-Ni",Women,CHN,1,0,0
Weightlifting,Weightlifting,"- 52kg, total (flyweight)",M,"ZENG, Guo-Qiang",Men,CHN,0,0,1
Aquatics,Synchronized S.,solo,W,"WALDO, Carolyn",Women,CAN,0,1,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"BRAIN, Marilyn",Women,CAN,0,1,0
Volleyball,Volleyball,volleyball,W,"LIANG, Yan",Women,CHN,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),M,"TONG, Ross",Men,NZL,1,0,0
Rowing,Rowing,quadruple sculls with coxswain (4x),W,"TARAN, Titie",Women,ROU,0,0,1
Gymnastics,Artistic G.,vault,W,"AGACHE, Lavinia",Women,ROU,1,0,0
Boxing,Boxing,63.5 - 67kg (welterweight),M,"AN, Young-Su",Men,KOR,0,1,0
Wrestling,Wrestling Free.,48 - 52kg (flyweight),M,"KIM, Jong-Kyu",Men,KOR,0,1,0
Aquatics,Swimming,4x100m freestyle relay,W,"SCHUSTER, Susanne",Women,FRG,1,0,0
Fencing,Fencing,sabre team,M,"MARIN, Corneliu",Men,ROU,1,0,0
