,x1,Product List,Random Picker,x2,Sex List,Random Picker,x3,Random Age Generator,x4,Nationality List,Random Picker,x5,Region List,Random Picker,x6,Branches List,Random Picker,x7,Product List,Cost,Mapping to the product from D,x8,Month,Random Picker,x9,Level of Satisfaction,x10,Review Length (Word Count),x11,Number of Workers to Hire List,Mapping to Branch,x12
11,A5E62FDD,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,10,1 0 0 0 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 1,1 0 0 0,,,1500,0 0 0 1,November,September,0 0 0 0 0 0 0 0 1 0 0 0,3,0 0 1 0 0,81,0 1,,16,0 0 1
12,97B73786,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,81,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,160,1 0 0 0,December,May,0 0 0 0 1 0 0 0 0 0 0 0,5,0 0 0 0 1,3,1 0,,16,0 0 1
13,11F14D5E,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,60,0 0 0 0 1,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,1500,0 0 0 1,,April,0 0 0 1 0 0 0 0 0 0 0 0,5,0 0 0 0 1,46,1 0,,16,0 0 1
14,B7B9C291,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,37,0 0 1 0 0,,American,0 1 0 0 0 0,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,,,900,0 0 1 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,2,0 1 0 0 0,81,0 1,,10,0 0 1
15,6E018166,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,45,0 0 0 1 0,,Japanese,0 0 1 0 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,January,1 0 0 0 0 0 0 0 0 0 0 0,2,0 1 0 0 0,99,0 1,,12,0 0 1
16,C8A45CE5,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,34,0 0 1 0 0,,American,0 1 0 0 0 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,154,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,5,0 0 0 0 1,73,0 1,,10,0 0 1
17,25D598D3,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,17,0 1 0 0 0,,Japanese,0 0 1 0 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,220,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,4,0 0 0 1 0,54,0 1,,16,0 0 1
18,08955E23,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,25,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,900,0 0 1 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,3,0 0 1 0 0,73,0 1,,12,0 0 1
19,1388D953,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,84,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,1500,0 0 0 1,,October,0 0 0 0 0 0 0 0 0 1 0 0,4,0 0 0 1 0,20,1 0,,10,0 0 1
20,DA5F5FE9,,Brown Belt,0 0 0 0 0 0 1 0,,Female,0 1,48,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,220,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,3,0 0 1 0 0,23,1 0,,12,0 0 1
21,0784AD8C,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,35,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,260,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,2,0 1 0 0 0,51,0 1,,12,0 0 1
22,21F85D9E,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,73,0 0 0 0 1,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,1500,0 0 0 1,,August,0 0 0 0 0 0 0 1 0 0 0 0,5,0 0 0 0 1,92,0 1,,10,0 0 1
23,0EE875A6,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,85,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,600,0 1 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,3,0 0 1 0 0,57,0 1,,12,0 0 1
24,749E9224,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,88,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,900,0 0 1 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,4,0 0 0 1 0,13,1 0,,16,0 0 1
25,80C138A1,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,47,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,900,0 0 1 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,3,0 0 1 0 0,77,0 1,,16,0 0 1
26,8B2C70C3,,Brown Belt,0 0 0 0 0 0 1 0,,Female,0 1,30,0 0 1 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,220,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,5,0 0 0 0 1,13,1 0,,12,0 0 1
27,5FC3408A,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,57,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,180,1 0 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,5,0 0 0 0 1,6,1 0,,12,0 0 1
28,88C763B6,,BTS Cap,0 0 0 0 0 0 0 1,,Female,0 1,15,0 1 0 0 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,160,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,6,1 0,,10,0 0 1
29,38D3E086,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,54,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,220,1 0 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,3,0 0 1 0 0,57,0 1,,10,0 0 1
30,2CAB2C9D,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,68,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,900,0 0 1 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,1,1 0 0 0 0,36,1 0,,16,0 0 1
31,E6D1ED96,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,83,0 0 0 0 1,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 3,0 0 1 0,,,900,0 0 1 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,2,0 1 0 0 0,83,0 1,,12,0 0 1
32,958E1405,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,76,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,600,0 1 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,5,0 0 0 0 1,33,1 0,,16,0 0 1
33,DDEFA9A9,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,85,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,220,1 0 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,3,0 0 1 0 0,53,0 1,,12,0 0 1
34,E6384323,,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,69,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,220,1 0 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,19,1 0,,10,0 0 1
35,2CD92702,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,58,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,154,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,11,1 0,,10,0 0 1
36,8FAAF21D,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,80,0 0 0 0 1,,American,0 1 0 0 0 0,,Luzon,0 1 0 0,,Branch 1,1 0 0 0,,,180,1 0 0 0,,April,0 0 0 1 0 0 0 0 0 0 0 0,3,0 0 1 0 0,32,1 0,,16,0 0 1
37,DC0E6A4A,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,66,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,75,0 1,,10,0 0 1
38,DBDA4C00,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,25,0 0 1 0 0,,Japanese,0 0 1 0 0 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,260,1 0 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,2,0 1 0 0 0,26,1 0,,12,0 0 1
39,DC88C93B,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,84,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,154,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,2,0 1 0 0 0,16,1 0,,12,0 0 1
40,46C72D26,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,22,0 0 1 0 0,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,900,0 0 1 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,3,0 0 1 0 0,35,1 0,,16,0 0 1
41,3237500B,,Red Blouse,0 0 0 0 0 1 0 0,,Female,0 1,10,1 0 0 0 0,,American,0 1 0 0 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,180,1 0 0 0,,April,0 0 0 1 0 0 0 0 0 0 0 0,1,1 0 0 0 0,2,1 0,,16,0 0 1
42,60F41E30,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,29,0 0 1 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,600,0 1 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,5,0 0 0 0 1,17,1 0,,10,0 0 1
43,5D562F05,,BTS Cap,0 0 0 0 0 0 0 1,,Female,0 1,53,0 0 0 1 0,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,160,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,1,1 0 0 0 0,12,1 0,,12,0 0 1
44,200334AE,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,43,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 3,0 0 1 0,,,260,1 0 0 0,,March,0 0 1 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,75,0 1,,12,0 0 1
45,63617372,,Red Blouse,0 0 0 0 0 1 0 0,,Female,0 1,29,0 0 1 0 0,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,180,1 0 0 0,,February,0 1 0 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,21,1 0,,12,0 0 1
46,4F00B607,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,49,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,600,0 1 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,3,0 0 1 0 0,58,0 1,,12,0 0 1
47,EDA3902C,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,31,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,260,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,2,0 1 0 0 0,82,0 1,,10,0 0 1
48,09B8A95A,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,36,0 0 1 0 0,,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,,,900,0 0 1 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,46,1 0,,10,0 0 1
49,34647CDA,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,14,0 1 0 0 0,,American,0 1 0 0 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,600,0 1 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,4,0 0 0 1 0,96,0 1,,12,0 0 1
50,03B3B10E,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,38,0 0 1 0 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 1,1 0 0 0,,,160,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,3,0 0 1 0 0,3,1 0,,16,0 0 1
51,52C66AF9,,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,82,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,180,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,2,0 1 0 0 0,2,1 0,,10,0 0 1
52,9E59DDE9,,Red Blouse,0 0 0 0 0 1 0 0,,Female,0 1,50,0 0 0 1 0,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,180,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,4,0 0 0 1 0,51,0 1,,10,0 0 1
53,E4A95884,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,76,0 0 0 0 1,,American,0 1 0 0 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,January,1 0 0 0 0 0 0 0 0 0 0 0,5,0 0 0 0 1,8,1 0,,12,0 0 1
54,3880533F,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,25,0 0 1 0 0,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,2,1 0,,10,0 0 1
55,B5BF0310,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,26,0 0 1 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,900,0 0 1 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,4,0 0 0 1 0,83,0 1,,12,0 0 1
56,8690E732,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,13,0 1 0 0 0,,American,0 1 0 0 0 0,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,,,260,1 0 0 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,2,0 1 0 0 0,74,0 1,,10,0 0 1
57,D38CFCAC,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,51,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,900,0 0 1 0,,February,0 1 0 0 0 0 0 0 0 0 0 0,3,0 0 1 0 0,97,0 1,,12,0 0 1
58,63C9216F,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,33,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,,,600,0 1 0 0,,September,0 0 0 0 0 0 0 0 1 0 0 0,3,0 0 1 0 0,12,1 0,,16,0 0 1
59,8BB2ECDE,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,89,0 0 0 0 1,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,154,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,2,0 1 0 0 0,94,0 1,,16,0 0 1
60,4D003C2C,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,89,0 0 0 0 1,,Other,0 0 0 0 0 1,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,600,0 1 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,5,0 0 0 0 1,74,0 1,,12,0 0 1
61,10A73B03,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,46,0 0 0 1 0,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,,,160,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,5,0 0 0 0 1,27,1 0,,12,0 0 1
62,5A3A0999,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,74,0 0 0 0 1,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,900,0 0 1 0,,October,0 0 0 0 0 0 0 0 0 1 0 0,4,0 0 0 1 0,69,0 1,,16,0 0 1
63,797CAA62,,Brown Belt,0 0 0 0 0 0 1 0,,Female,0 1,38,0 0 1 0 0,,American,0 1 0 0 0 0,,Visayas,0 0 1 0,,Branch 3,0 0 1 0,,,220,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,5,0 0 0 0 1,82,0 1,,12,0 0 1
64,0046E70D,,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,53,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,1,1 0 0 0 0,39,1 0,,10,0 0 1
65,2967A8BF,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,10,1 0 0 0 0,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,260,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,5,0 0 0 0 1,69,0 1,,10,0 0 1
66,750F1B0E,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,18,0 1 0 0 0,,Korean,0 0 0 1 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,260,1 0 0 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,2,0 1 0 0 0,20,1 0,,10,0 0 1
67,F9E257A9,,Maong Pants,1 0 0 0 0 0 0 0,,Female,0 1,12,0 1 0 0 0,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,600,0 1 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,4,0 0 0 1 0,80,0 1,,10,0 0 1
68,322A46B4,,Red Blouse,0 0 0 0 0 1 0 0,,Female,0 1,71,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,180,1 0 0 0,,January,1 0 0 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,4,1 0,,16,0 0 1
69,A2BA902D,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,53,0 0 0 1 0,,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,1500,0 0 0 1,,March,0 0 1 0 0 0 0 0 0 0 0 0,1,1 0 0 0 0,49,1 0,,10,0 0 1
70,9849CE97,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,38,0 0 1 0 0,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,154,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,5,0 0 0 0 1,20,1 0,,12,0 0 1
71,2E45672F,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Female,0 1,26,0 0 1 0 0,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,900,0 0 1 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,3,0 0 1 0 0,21,1 0,,10,0 0 1
72,1D075CE0,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,73,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,900,0 0 1 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,5,0 0 0 0 1,61,0 1,,16,0 0 1
73,F1A7F6B0,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,24,0 0 1 0 0,,Japanese,0 0 1 0 0 0,,Visayas,0 0 1 0,,Branch 2,0 1 0 0,,,260,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,1,1 0 0 0 0,60,0 1,,10,0 0 1
74,1216E039,,Sundress,0 0 0 0 1 0 0 0,,Male,1 0,87,0 0 0 0 1,,Filipino,1 0 0 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,1500,0 0 0 1,,November,0 0 0 0 0 0 0 0 0 0 1 0,5,0 0 0 0 1,81,0 1,,12,0 0 1
75,A9DD6E14,,Blue Necktie,0 1 0 0 0 0 0 0,,Male,1 0,53,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,154,1 0 0 0,,December,0 0 0 0 0 0 0 0 0 0 0 1,4,0 0 0 1 0,41,1 0,,12,0 0 1
76,FAEDB002,,Black Sweater,0 0 1 0 0 0 0 0,,Male,1 0,54,0 0 0 1 0,,Korean,0 0 0 1 0 0,,Mindanao,0 0 0 1,,Branch 1,1 0 0 0,,,260,1 0 0 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,2,0 1 0 0 0,82,0 1,,16,0 0 1
77,721EB0D7,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,51,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,154,1 0 0 0,,July,0 0 0 0 0 0 1 0 0 0 0 0,5,0 0 0 0 1,85,0 1,,12,0 0 1
78,72E6B58A,,Red Sweatshirt,0 0 0 1 0 0 0 0,,Male,1 0,67,0 0 0 0 1,,American,0 1 0 0 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,,,900,0 0 1 0,,May,0 0 0 0 1 0 0 0 0 0 0 0,3,0 0 1 0 0,59,0 1,,12,0 0 1
79,37D00225,,BTS Cap,0 0 0 0 0 0 0 1,,Female,0 1,42,0 0 0 1 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 2,0 1 0 0,,,160,1 0 0 0,,August,0 0 0 0 0 0 0 1 0 0 0 0,5,0 0 0 0 1,87,0 1,,10,0 0 1
80,E405BD19,,Blue Necktie,0 1 0 0 0 0 0 0,,Female,0 1,66,0 0 0 0 1,,Chinese,0 0 0 0 1 0,,NCR,1 0 0 0,,Branch 2,0 1 0 0,,,154,1 0 0 0,,November,0 0 0 0 0 0 0 0 0 0 1 0,1,1 0 0 0 0,16,1 0,,10,0 0 1
81,CF5D8783,,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,33,0 0 1 0 0,,American,0 1 0 0 0 0,,Mindanao,0 0 0 1,,Branch 4,0 0 0 1,,,160,1 0 0 0,,June,0 0 0 0 0 1 0 0 0 0 0 0,4,0 0 0 1 0,21,1 0,,12,0 0 1
