,datetime,water_level,station,24hr
641,2022-01-02,11.64,Pasig City Hall,0.0
642,2022-01-02,11.64,Pintong Bukawe,0.0
643,2022-01-02,11.64,Port Area Synop,0.0
644,2022-01-02,11.64,San Mateo-2,0.0
645,2022-01-02,11.64,San Pedro 9 Chapel,0.0
646,2022-01-02,11.64,Science Garden,0.0
647,2022-01-02,11.64,Sitio Wawa,0.0
648,2022-01-02,11.64,Taytay,0.0
649,2022-01-02,11.64,Valenzuela NHS,0.0
1248,2022-01-03,11.64,Airport (PAGASA),0.0
1249,2022-01-03,11.64,Antipolo,0.0
1250,2022-01-03,11.64,Bagong Nayon,0.0
1251,2022-01-03,11.64,Boso Boso,0.0
1252,2022-01-03,11.64,Calawis,0.0
1253,2022-01-03,11.64,Guadanoville,0.0
1254,2022-01-03,11.64,Ko-Phil IT Center,0.0
1255,2022-01-03,11.64,La Mesa Dam,0.0
1256,2022-01-03,11.64,Macabud,0.0
1257,2022-01-03,11.64,Mandaluyong,0.0
1258,2022-01-03,11.64,Marikina (Youth Camp),0.0
1259,2022-01-03,11.64,Mt. Aries,0.0
1260,2022-01-03,11.64,Mt. Campana,0.0
1261,2022-01-03,11.64,Mt. Oro,0.0
1262,2022-01-03,11.64,Nangka,0.0
1263,2022-01-03,11.64,Napindan,0.0
1264,2022-01-03,11.64,Pacweld,0.0
1265,2022-01-03,11.64,Pasig City Hall,0.0
1266,2022-01-03,11.64,Pintong Bukawe,0.0
1267,2022-01-03,11.64,Port Area Synop,0.0
1268,2022-01-03,11.64,San Mateo-2,0.0
1269,2022-01-03,11.64,San Pedro 9 Chapel,0.0
1270,2022-01-03,11.64,Science Garden,0.0
1271,2022-01-03,11.64,Sitio Wawa,0.0
1272,2022-01-03,11.64,Taytay,0.0
1273,2022-01-03,11.64,Valenzuela NHS,0.0
1872,2022-01-04,11.67,Airport (PAGASA),0.0
1873,2022-01-04,11.67,Antipolo,0.0
1874,2022-01-04,11.67,Bagong Nayon,0.0
1875,2022-01-04,11.67,Boso Boso,0.0
1876,2022-01-04,11.67,Calawis,0.0
1877,2022-01-04,11.67,Guadanoville,0.0
1878,2022-01-04,11.67,Ko-Phil IT Center,0.0
1879,2022-01-04,11.67,La Mesa Dam,0.0
1880,2022-01-04,11.67,Macabud,0.0
1881,2022-01-04,11.67,Mandaluyong,0.0
1882,2022-01-04,11.67,Marikina (Youth Camp),0.0
1883,2022-01-04,11.67,Mt. Aries,0.0
1884,2022-01-04,11.67,Mt. Campana,0.0
1885,2022-01-04,11.67,Mt. Oro,0.0
1886,2022-01-04,11.67,Nangka,0.0
1887,2022-01-04,11.67,Napindan,0.0
1888,2022-01-04,11.67,Pacweld,0.0
1889,2022-01-04,11.67,Pasig City Hall,0.0
1890,2022-01-04,11.67,Pintong Bukawe,0.0
1891,2022-01-04,11.67,Port Area Synop,0.0
1892,2022-01-04,11.67,San Mateo-2,0.0
1893,2022-01-04,11.67,San Pedro 9 Chapel,0.0
1894,2022-01-04,11.67,Science Garden,0.0
1895,2022-01-04,11.67,Sitio Wawa,0.0
1896,2022-01-04,11.67,Taytay,0.0
1897,2022-01-04,11.67,Valenzuela NHS,0.0
2496,2022-01-05,11.68,Airport (PAGASA),0.0
2497,2022-01-05,11.68,Antipolo,0.0
2498,2022-01-05,11.68,Bagong Nayon,0.0
2499,2022-01-05,11.68,Boso Boso,0.0
2500,2022-01-05,11.68,Calawis,0.0
2501,2022-01-05,11.68,Guadanoville,0.0
2502,2022-01-05,11.68,Ko-Phil IT Center,0.0
2503,2022-01-05,11.68,La Mesa Dam,0.0
2504,2022-01-05,11.68,Macabud,0.0
2505,2022-01-05,11.68,Mandaluyong,0.0
2506,2022-01-05,11.68,Marikina (Youth Camp),0.0
2507,2022-01-05,11.68,Mt. Aries,0.0
2508,2022-01-05,11.68,Mt. Campana,0.0
2509,2022-01-05,11.68,Mt. Oro,0.0
2510,2022-01-05,11.68,Nangka,0.0
2511,2022-01-05,11.68,Napindan,0.0
2512,2022-01-05,11.68,Pacweld,0.0
2513,2022-01-05,11.68,Pasig City Hall,0.0
2514,2022-01-05,11.68,Pintong Bukawe,0.0
2515,2022-01-05,11.68,Port Area Synop,0.0
2516,2022-01-05,11.68,San Mateo-2,0.0
2517,2022-01-05,11.68,San Pedro 9 Chapel,0.0
2518,2022-01-05,11.68,Science Garden,0.0
2519,2022-01-05,11.68,Sitio Wawa,0.0
2520,2022-01-05,11.68,Taytay,0.0
2521,2022-01-05,11.68,Valenzuela NHS,0.0
3120,2022-01-06,11.66,Airport (PAGASA),0.0
3121,2022-01-06,11.66,Antipolo,0.0
3122,2022-01-06,11.66,Bagong Nayon,0.0
3123,2022-01-06,11.66,Boso Boso,0.0
3124,2022-01-06,11.66,Calawis,0.0
3125,2022-01-06,11.66,Guadanoville,0.0
3126,2022-01-06,11.66,Ko-Phil IT Center,0.0
3127,2022-01-06,11.66,La Mesa Dam,0.0
3128,2022-01-06,11.66,Macabud,0.0
3129,2022-01-06,11.66,Mandaluyong,0.0
3130,2022-01-06,11.66,Marikina (Youth Camp),0.0
3131,2022-01-06,11.66,Mt. Aries,0.0
3132,2022-01-06,11.66,Mt. Campana,0.0
3133,2022-01-06,11.66,Mt. Oro,0.0
3134,2022-01-06,11.66,Nangka,0.0
3135,2022-01-06,11.66,Napindan,0.0
3136,2022-01-06,11.66,Pacweld,0.0
3137,2022-01-06,11.66,Pasig City Hall,0.0
3138,2022-01-06,11.66,Pintong Bukawe,0.0
3139,2022-01-06,11.66,Port Area Synop,0.0
3140,2022-01-06,11.66,San Mateo-2,0.0
3141,2022-01-06,11.66,San Pedro 9 Chapel,0.0
3142,2022-01-06,11.66,Science Garden,0.0
3143,2022-01-06,11.66,Sitio Wawa,0.0
3144,2022-01-06,11.66,Taytay,0.0
3145,2022-01-06,11.66,Valenzuela NHS,0.0
3744,2022-01-07,11.64,Airport (PAGASA),0.0
3745,2022-01-07,11.64,Antipolo,0.0
3746,2022-01-07,11.64,Bagong Nayon,0.0
3747,2022-01-07,11.64,Boso Boso,0.0
3748,2022-01-07,11.64,Calawis,0.0
3749,2022-01-07,11.64,Guadanoville,0.0
3750,2022-01-07,11.64,Ko-Phil IT Center,0.0
3751,2022-01-07,11.64,La Mesa Dam,0.0
3752,2022-01-07,11.64,Macabud,0.0
3753,2022-01-07,11.64,Mandaluyong,0.0
3754,2022-01-07,11.64,Marikina (Youth Camp),0.0
3755,2022-01-07,11.64,Mt. Aries,0.0
3756,2022-01-07,11.64,Mt. Campana,0.0
3757,2022-01-07,11.64,Mt. Oro,0.0
3758,2022-01-07,11.64,Nangka,0.0
3759,2022-01-07,11.64,Napindan,0.0
3760,2022-01-07,11.64,Pacweld,0.0
3761,2022-01-07,11.64,Pasig City Hall,0.0
3762,2022-01-07,11.64,Pintong Bukawe,0.0
3763,2022-01-07,11.64,Port Area Synop,0.0
3764,2022-01-07,11.64,San Mateo-2,0.0
3765,2022-01-07,11.64,San Pedro 9 Chapel,0.0
3766,2022-01-07,11.64,Science Garden,0.0
3767,2022-01-07,11.64,Sitio Wawa,0.0
3768,2022-01-07,11.64,Taytay,0.0
3769,2022-01-07,11.64,Valenzuela NHS,0.0
4368,2022-01-08,11.59,Airport (PAGASA),0.0
4369,2022-01-08,11.59,Antipolo,0.0
4370,2022-01-08,11.59,Bagong Nayon,0.0
4371,2022-01-08,11.59,Boso Boso,0.0
4372,2022-01-08,11.59,Calawis,0.0
4373,2022-01-08,11.59,Guadanoville,0.0
4374,2022-01-08,11.59,Ko-Phil IT Center,0.0
4375,2022-01-08,11.59,La Mesa Dam,0.0
4376,2022-01-08,11.59,Macabud,0.0
4377,2022-01-08,11.59,Mandaluyong,0.0
4378,2022-01-08,11.59,Marikina (Youth Camp),0.0
4379,2022-01-08,11.59,Mt. Aries,0.0
4380,2022-01-08,11.59,Mt. Campana,0.0
4381,2022-01-08,11.59,Mt. Oro,0.0
4382,2022-01-08,11.59,Nangka,0.0
4383,2022-01-08,11.59,Napindan,0.0
4384,2022-01-08,11.59,Pacweld,0.0
4385,2022-01-08,11.59,Pasig City Hall,0.0
4386,2022-01-08,11.59,Pintong Bukawe,0.0
4387,2022-01-08,11.59,Port Area Synop,0.0
4388,2022-01-08,11.59,San Mateo-2,0.0
4389,2022-01-08,11.59,San Pedro 9 Chapel,0.0
4390,2022-01-08,11.59,Science Garden,0.0
4391,2022-01-08,11.59,Sitio Wawa,0.0
4392,2022-01-08,11.59,Taytay,0.0
4393,2022-01-08,11.59,Valenzuela NHS,0.0
4992,2022-01-09,11.55,Airport (PAGASA),0.0
4993,2022-01-09,11.55,Antipolo,0.0
4994,2022-01-09,11.55,Bagong Nayon,15.5
4995,2022-01-09,11.55,Boso Boso,6.0
4996,2022-01-09,11.55,Calawis,12.5
4997,2022-01-09,11.55,Guadanoville,0.0
4998,2022-01-09,11.55,Ko-Phil IT Center,0.0
4999,2022-01-09,11.55,La Mesa Dam,0.0
5000,2022-01-09,11.55,Macabud,0.0
5001,2022-01-09,11.55,Mandaluyong,0.0
5002,2022-01-09,11.55,Marikina (Youth Camp),3.5
5003,2022-01-09,11.55,Mt. Aries,3.0
5004,2022-01-09,11.55,Mt. Campana,10.0
5005,2022-01-09,11.55,Mt. Oro,0.0
5006,2022-01-09,11.55,Nangka,0.0
5007,2022-01-09,11.55,Napindan,0.0
5008,2022-01-09,11.55,Pacweld,0.0
5009,2022-01-09,11.55,Pasig City Hall,0.0
5010,2022-01-09,11.55,Pintong Bukawe,0.0
5011,2022-01-09,11.55,Port Area Synop,0.0
5012,2022-01-09,11.55,San Mateo-2,0.5
5013,2022-01-09,11.55,San Pedro 9 Chapel,0.0
5014,2022-01-09,11.55,Science Garden,8.0
5015,2022-01-09,11.55,Sitio Wawa,0.0
5016,2022-01-09,11.55,Taytay,0.0
5017,2022-01-09,11.55,Valenzuela NHS,0.0
5616,2022-01-10,11.5,Airport (PAGASA),0.0
5617,2022-01-10,11.5,Antipolo,0.0
5618,2022-01-10,11.5,Bagong Nayon,0.0
5619,2022-01-10,11.5,Boso Boso,0.0
5620,2022-01-10,11.5,Calawis,0.0
5621,2022-01-10,11.5,Guadanoville,0.0
5622,2022-01-10,11.5,Ko-Phil IT Center,0.0
5623,2022-01-10,11.5,La Mesa Dam,0.0
5624,2022-01-10,11.5,Macabud,0.0
5625,2022-01-10,11.5,Mandaluyong,0.0
5626,2022-01-10,11.5,Marikina (Youth Camp),0.0
5627,2022-01-10,11.5,Mt. Aries,0.0
5628,2022-01-10,11.5,Mt. Campana,0.0
5629,2022-01-10,11.5,Mt. Oro,0.0
5630,2022-01-10,11.5,Nangka,0.0
5631,2022-01-10,11.5,Napindan,0.0
5632,2022-01-10,11.5,Pacweld,0.0
5633,2022-01-10,11.5,Pasig City Hall,0.0
5634,2022-01-10,11.5,Pintong Bukawe,0.0
5635,2022-01-10,11.5,Port Area Synop,0.0
5636,2022-01-10,11.5,San Mateo-2,0.0
5637,2022-01-10,11.5,San Pedro 9 Chapel,0.0
5638,2022-01-10,11.5,Science Garden,0.0
5639,2022-01-10,11.5,Sitio Wawa,0.0
5640,2022-01-10,11.5,Taytay,0.0
5641,2022-01-10,11.5,Valenzuela NHS,0.0
6240,2022-01-11,11.49,Airport (PAGASA),0.0
6241,2022-01-11,11.49,Antipolo,0.0
6242,2022-01-11,11.49,Bagong Nayon,0.0
6243,2022-01-11,11.49,Boso Boso,0.0
6244,2022-01-11,11.49,Calawis,0.0
6245,2022-01-11,11.49,Guadanoville,0.0
6246,2022-01-11,11.49,Ko-Phil IT Center,0.0
6247,2022-01-11,11.49,La Mesa Dam,0.0
6248,2022-01-11,11.49,Macabud,0.0
6249,2022-01-11,11.49,Mandaluyong,0.0
6250,2022-01-11,11.49,Marikina (Youth Camp),0.0
6251,2022-01-11,11.49,Mt. Aries,0.0
6252,2022-01-11,11.49,Mt. Campana,0.0
6253,2022-01-11,11.49,Mt. Oro,0.0
6254,2022-01-11,11.49,Nangka,0.0
6255,2022-01-11,11.49,Napindan,0.0
6256,2022-01-11,11.49,Pacweld,0.0
6257,2022-01-11,11.49,Pasig City Hall,0.0
6258,2022-01-11,11.49,Pintong Bukawe,0.0
6259,2022-01-11,11.49,Port Area Synop,0.0
6260,2022-01-11,11.49,San Mateo-2,0.0
6261,2022-01-11,11.49,San Pedro 9 Chapel,0.0
6262,2022-01-11,11.49,Science Garden,0.0
6263,2022-01-11,11.49,Sitio Wawa,0.0
6264,2022-01-11,11.49,Taytay,0.0
6265,2022-01-11,11.49,Valenzuela NHS,0.0
6864,2022-01-12,11.46,Airport (PAGASA),0.0
6865,2022-01-12,11.46,Antipolo,0.0
6866,2022-01-12,11.46,Bagong Nayon,0.0
6867,2022-01-12,11.46,Boso Boso,0.0
6868,2022-01-12,11.46,Calawis,0.0
6869,2022-01-12,11.46,Guadanoville,0.0
6870,2022-01-12,11.46,Ko-Phil IT Center,0.0
6871,2022-01-12,11.46,La Mesa Dam,0.0
6872,2022-01-12,11.46,Macabud,0.0
6873,2022-01-12,11.46,Mandaluyong,0.0
6874,2022-01-12,11.46,Marikina (Youth Camp),0.0
6875,2022-01-12,11.46,Mt. Aries,0.0
6876,2022-01-12,11.46,Mt. Campana,0.0
6877,2022-01-12,11.46,Mt. Oro,0.0
6878,2022-01-12,11.46,Nangka,0.0
6879,2022-01-12,11.46,Napindan,0.0
6880,2022-01-12,11.46,Pacweld,0.0
6881,2022-01-12,11.46,Pasig City Hall,0.0
6882,2022-01-12,11.46,Pintong Bukawe,0.0
6883,2022-01-12,11.46,Port Area Synop,0.0
6884,2022-01-12,11.46,San Mateo-2,0.0
6885,2022-01-12,11.46,San Pedro 9 Chapel,0.0
6886,2022-01-12,11.46,Science Garden,0.0
6887,2022-01-12,11.46,Sitio Wawa,0.0
6888,2022-01-12,11.46,Taytay,0.0
6889,2022-01-12,11.46,Valenzuela NHS,0.0
7488,2022-01-13,11.45,Airport (PAGASA),0.0
7489,2022-01-13,11.45,Antipolo,0.0
7490,2022-01-13,11.45,Bagong Nayon,0.0
7491,2022-01-13,11.45,Boso Boso,0.0
7492,2022-01-13,11.45,Calawis,0.0
7493,2022-01-13,11.45,Guadanoville,0.0
7494,2022-01-13,11.45,Ko-Phil IT Center,0.0
7495,2022-01-13,11.45,La Mesa Dam,0.0
7496,2022-01-13,11.45,Macabud,0.0
7497,2022-01-13,11.45,Mandaluyong,0.0
7498,2022-01-13,11.45,Marikina (Youth Camp),0.0
7499,2022-01-13,11.45,Mt. Aries,0.0
7500,2022-01-13,11.45,Mt. Campana,0.0
7501,2022-01-13,11.45,Mt. Oro,0.0
7502,2022-01-13,11.45,Nangka,0.0
7503,2022-01-13,11.45,Napindan,0.0
7504,2022-01-13,11.45,Pacweld,0.0
7505,2022-01-13,11.45,Pasig City Hall,0.0
7506,2022-01-13,11.45,Pintong Bukawe,0.0
7507,2022-01-13,11.45,Port Area Synop,0.0
7508,2022-01-13,11.45,San Mateo-2,0.0
7509,2022-01-13,11.45,San Pedro 9 Chapel,0.0
7510,2022-01-13,11.45,Science Garden,0.0
7511,2022-01-13,11.45,Sitio Wawa,0.0
7512,2022-01-13,11.45,Taytay,0.0
7513,2022-01-13,11.45,Valenzuela NHS,0.0
8112,2022-01-14,11.48,Airport (PAGASA),0.0
8113,2022-01-14,11.48,Antipolo,0.0
8114,2022-01-14,11.48,Bagong Nayon,0.0
8115,2022-01-14,11.48,Boso Boso,0.0
8116,2022-01-14,11.48,Calawis,0.0
8117,2022-01-14,11.48,Guadanoville,0.0
8118,2022-01-14,11.48,Ko-Phil IT Center,0.0
8119,2022-01-14,11.48,La Mesa Dam,0.0
8120,2022-01-14,11.48,Macabud,0.0
8121,2022-01-14,11.48,Mandaluyong,0.0
8122,2022-01-14,11.48,Marikina (Youth Camp),0.0
8123,2022-01-14,11.48,Mt. Aries,0.0
8124,2022-01-14,11.48,Mt. Campana,0.0
8125,2022-01-14,11.48,Mt. Oro,0.0
8126,2022-01-14,11.48,Nangka,0.0
8127,2022-01-14,11.48,Napindan,0.0
8128,2022-01-14,11.48,Pacweld,0.0
8129,2022-01-14,11.48,Pasig City Hall,0.0
8130,2022-01-14,11.48,Pintong Bukawe,0.0
8131,2022-01-14,11.48,Port Area Synop,0.0
8132,2022-01-14,11.48,San Mateo-2,0.0
8133,2022-01-14,11.48,San Pedro 9 Chapel,0.0
8134,2022-01-14,11.48,Science Garden,0.0
8135,2022-01-14,11.48,Sitio Wawa,0.0
8136,2022-01-14,11.48,Taytay,0.0
8137,2022-01-14,11.48,Valenzuela NHS,0.0
8736,2022-01-15,11.47,Airport (PAGASA),0.0
8737,2022-01-15,11.47,Antipolo,0.0
8738,2022-01-15,11.47,Bagong Nayon,0.0
8739,2022-01-15,11.47,Boso Boso,0.0
8740,2022-01-15,11.47,Calawis,0.0
8741,2022-01-15,11.47,Guadanoville,0.0
8742,2022-01-15,11.47,Ko-Phil IT Center,0.0
8743,2022-01-15,11.47,La Mesa Dam,0.0
8744,2022-01-15,11.47,Macabud,0.0
8745,2022-01-15,11.47,Mandaluyong,0.0
8746,2022-01-15,11.47,Marikina (Youth Camp),0.0
8747,2022-01-15,11.47,Mt. Aries,0.0
8748,2022-01-15,11.47,Mt. Campana,0.0
8749,2022-01-15,11.47,Mt. Oro,0.0
8750,2022-01-15,11.47,Nangka,0.0
8751,2022-01-15,11.47,Napindan,0.0
8752,2022-01-15,11.47,Pacweld,0.0
8753,2022-01-15,11.47,Pasig City Hall,0.0
8754,2022-01-15,11.47,Pintong Bukawe,0.0
8755,2022-01-15,11.47,Port Area Synop,0.0
8756,2022-01-15,11.47,San Mateo-2,0.0
8757,2022-01-15,11.47,San Pedro 9 Chapel,0.0
8758,2022-01-15,11.47,Science Garden,0.0
8759,2022-01-15,11.47,Sitio Wawa,0.0
8760,2022-01-15,11.47,Taytay,0.0
8761,2022-01-15,11.47,Valenzuela NHS,0.0
9360,2022-01-16,11.47,Airport (PAGASA),0.0
9361,2022-01-16,11.47,Antipolo,0.0
9362,2022-01-16,11.47,Bagong Nayon,0.0
9363,2022-01-16,11.47,Boso Boso,0.0
9364,2022-01-16,11.47,Calawis,0.0
9365,2022-01-16,11.47,Guadanoville,0.0
9366,2022-01-16,11.47,Ko-Phil IT Center,0.0
9367,2022-01-16,11.47,La Mesa Dam,0.0
9368,2022-01-16,11.47,Macabud,0.0
9369,2022-01-16,11.47,Mandaluyong,0.0
9370,2022-01-16,11.47,Marikina (Youth Camp),0.0
9371,2022-01-16,11.47,Mt. Aries,0.0
9372,2022-01-16,11.47,Mt. Campana,0.0
9373,2022-01-16,11.47,Mt. Oro,0.0
9374,2022-01-16,11.47,Nangka,0.0
9375,2022-01-16,11.47,Napindan,0.0
9376,2022-01-16,11.47,Pacweld,0.0
9377,2022-01-16,11.47,Pasig City Hall,0.0
9378,2022-01-16,11.47,Pintong Bukawe,0.0
9379,2022-01-16,11.47,Port Area Synop,0.0
9380,2022-01-16,11.47,San Mateo-2,0.5
9381,2022-01-16,11.47,San Pedro 9 Chapel,0.0
9382,2022-01-16,11.47,Science Garden,0.0
9383,2022-01-16,11.47,Sitio Wawa,0.0
9384,2022-01-16,11.47,Taytay,0.0
9385,2022-01-16,11.47,Valenzuela NHS,0.0
9984,2022-01-17,11.47,Airport (PAGASA),0.0
9985,2022-01-17,11.47,Antipolo,0.0
9986,2022-01-17,11.47,Bagong Nayon,0.0
9987,2022-01-17,11.47,Boso Boso,0.0
9988,2022-01-17,11.47,Calawis,0.0
9989,2022-01-17,11.47,Guadanoville,0.0
9990,2022-01-17,11.47,Ko-Phil IT Center,0.0
9991,2022-01-17,11.47,La Mesa Dam,0.0
9992,2022-01-17,11.47,Macabud,0.0
9993,2022-01-17,11.47,Mandaluyong,0.0
9994,2022-01-17,11.47,Marikina (Youth Camp),0.0
9995,2022-01-17,11.47,Mt. Aries,0.0
9996,2022-01-17,11.47,Mt. Campana,0.0
9997,2022-01-17,11.47,Mt. Oro,0.0
9998,2022-01-17,11.47,Nangka,0.0
9999,2022-01-17,11.47,Napindan,0.0
10000,2022-01-17,11.47,Pacweld,0.0
10001,2022-01-17,11.47,Pasig City Hall,0.0
10002,2022-01-17,11.47,Pintong Bukawe,0.0
10003,2022-01-17,11.47,Port Area Synop,0.0
10004,2022-01-17,11.47,San Mateo-2,0.0
10005,2022-01-17,11.47,San Pedro 9 Chapel,0.0
10006,2022-01-17,11.47,Science Garden,0.0
10007,2022-01-17,11.47,Sitio Wawa,0.0
10008,2022-01-17,11.47,Taytay,0.0
10009,2022-01-17,11.47,Valenzuela NHS,0.0
10608,2022-01-18,11.49,Airport (PAGASA),0.0
10609,2022-01-18,11.49,Antipolo,0.0
10610,2022-01-18,11.49,Bagong Nayon,0.0
10611,2022-01-18,11.49,Boso Boso,0.0
10612,2022-01-18,11.49,Calawis,0.0
10613,2022-01-18,11.49,Guadanoville,0.0
10614,2022-01-18,11.49,Ko-Phil IT Center,0.0
10615,2022-01-18,11.49,La Mesa Dam,0.0
10616,2022-01-18,11.49,Macabud,0.0
10617,2022-01-18,11.49,Mandaluyong,0.0
10618,2022-01-18,11.49,Marikina (Youth Camp),0.0
10619,2022-01-18,11.49,Mt. Aries,0.0
10620,2022-01-18,11.49,Mt. Campana,0.0
10621,2022-01-18,11.49,Mt. Oro,0.0
10622,2022-01-18,11.49,Nangka,0.0
10623,2022-01-18,11.49,Napindan,0.0
10624,2022-01-18,11.49,Pacweld,0.0
10625,2022-01-18,11.49,Pasig City Hall,0.0
10626,2022-01-18,11.49,Pintong Bukawe,0.0
10627,2022-01-18,11.49,Port Area Synop,0.0
10628,2022-01-18,11.49,San Mateo-2,0.5
10629,2022-01-18,11.49,San Pedro 9 Chapel,0.0
10630,2022-01-18,11.49,Science Garden,0.0
10631,2022-01-18,11.49,Sitio Wawa,0.0
10632,2022-01-18,11.49,Taytay,0.0
10633,2022-01-18,11.49,Valenzuela NHS,0.0
11232,2022-01-19,11.51,Airport (PAGASA),0.0
11233,2022-01-19,11.51,Antipolo,0.0
11234,2022-01-19,11.51,Bagong Nayon,0.0
11235,2022-01-19,11.51,Boso Boso,0.0
11236,2022-01-19,11.51,Calawis,0.0
11237,2022-01-19,11.51,Guadanoville,0.0
11238,2022-01-19,11.51,Ko-Phil IT Center,0.0
11239,2022-01-19,11.51,La Mesa Dam,0.0
11240,2022-01-19,11.51,Macabud,0.0
11241,2022-01-19,11.51,Mandaluyong,0.0
11242,2022-01-19,11.51,Marikina (Youth Camp),0.0
11243,2022-01-19,11.51,Mt. Aries,0.0
11244,2022-01-19,11.51,Mt. Campana,0.0
11245,2022-01-19,11.51,Mt. Oro,0.0
11246,2022-01-19,11.51,Nangka,0.0
11247,2022-01-19,11.51,Napindan,0.0
11248,2022-01-19,11.51,Pacweld,0.0
11249,2022-01-19,11.51,Pasig City Hall,0.0
11250,2022-01-19,11.51,Pintong Bukawe,0.0
11251,2022-01-19,11.51,Port Area Synop,0.0
11252,2022-01-19,11.51,San Mateo-2,0.0
11253,2022-01-19,11.51,San Pedro 9 Chapel,0.0
11254,2022-01-19,11.51,Science Garden,0.0
11255,2022-01-19,11.51,Sitio Wawa,0.0
11256,2022-01-19,11.51,Taytay,0.0
11257,2022-01-19,11.51,Valenzuela NHS,0.0
11856,2022-01-20,11.51,Airport (PAGASA),0.0
11857,2022-01-20,11.51,Antipolo,0.0
11858,2022-01-20,11.51,Bagong Nayon,0.0
11859,2022-01-20,11.51,Boso Boso,0.0
11860,2022-01-20,11.51,Calawis,0.0
11861,2022-01-20,11.51,Guadanoville,0.0
11862,2022-01-20,11.51,Ko-Phil IT Center,0.0
11863,2022-01-20,11.51,La Mesa Dam,0.0
11864,2022-01-20,11.51,Macabud,0.0
11865,2022-01-20,11.51,Mandaluyong,0.0
11866,2022-01-20,11.51,Marikina (Youth Camp),0.0
11867,2022-01-20,11.51,Mt. Aries,0.0
11868,2022-01-20,11.51,Mt. Campana,0.0
11869,2022-01-20,11.51,Mt. Oro,0.0
11870,2022-01-20,11.51,Nangka,0.0
11871,2022-01-20,11.51,Napindan,0.0
11872,2022-01-20,11.51,Pacweld,0.0
11873,2022-01-20,11.51,Pasig City Hall,0.0
11874,2022-01-20,11.51,Pintong Bukawe,0.0
11875,2022-01-20,11.51,Port Area Synop,0.0
11876,2022-01-20,11.51,San Mateo-2,0.0
11877,2022-01-20,11.51,San Pedro 9 Chapel,0.0
11878,2022-01-20,11.51,Science Garden,0.0
11879,2022-01-20,11.51,Sitio Wawa,0.0
11880,2022-01-20,11.51,Taytay,0.0
11881,2022-01-20,11.51,Valenzuela NHS,0.0
12480,2022-01-21,11.49,Airport (PAGASA),0.0
12481,2022-01-21,11.49,Antipolo,0.0
12482,2022-01-21,11.49,Bagong Nayon,0.0
12483,2022-01-21,11.49,Boso Boso,0.0
12484,2022-01-21,11.49,Calawis,0.0
12485,2022-01-21,11.49,Guadanoville,0.0
12486,2022-01-21,11.49,Ko-Phil IT Center,0.0
12487,2022-01-21,11.49,La Mesa Dam,0.0
12488,2022-01-21,11.49,Macabud,0.0
12489,2022-01-21,11.49,Mandaluyong,0.0
12490,2022-01-21,11.49,Marikina (Youth Camp),0.0
12491,2022-01-21,11.49,Mt. Aries,0.0
12492,2022-01-21,11.49,Mt. Campana,0.0
12493,2022-01-21,11.49,Mt. Oro,0.0
12494,2022-01-21,11.49,Nangka,0.0
12495,2022-01-21,11.49,Napindan,0.0
12496,2022-01-21,11.49,Pacweld,0.0
12497,2022-01-21,11.49,Pasig City Hall,0.0
12498,2022-01-21,11.49,Pintong Bukawe,0.0
