Year,Host_City,Sport,Discipline,Event,Event_gender,Surname,Given_Name,Gender,Country,Medal
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Rudovskaya,Lyubov,Women,Soviet Union,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,team competition,W,Kische,Marion,Women,East Germany,Bronze
1/1/1976,Montreal,Equestrian,Dressage,team,,Stueckelberger,Christine,Women,Switzerland,Silver
1/1/1976,Montreal,Athletics,Athletics,4x100m relay,W,Stecher,Renate,Women,East Germany,Gold
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Cooke,Ian,Men,Australia,Silver
1/1/1976,Montreal,Wrestling,Wrestling Free.,68 - 74kg (welterweight),M,Date,Jiichiro,Men,Japan,Gold
1/1/1976,Montreal,Modern Pentathlon,Modern Pentath.,Individual competition,M,Pyciak-peciak,Janusz,Men,Poland,Gold
1/1/1976,Montreal,Fencing,Fencing,sabre team,M,Mustata,Marin,Men,Romania,Bronze
1/1/1976,Montreal,Equestrian,Dressage,individual,,Stueckelberger,Christine,Women,Switzerland,Gold
1/1/1976,Montreal,Cycling,Cycling Track,Team Pursuit (4000m),M,Lutz,Hans,Men,West Germany,Gold
1/1/1976,Montreal,Gymnastics,Artistic G.,team competition,M,Hanschke,Rainer,Men,East Germany,Bronze
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,Bischof,Frank-Peter,Men,East Germany,Bronze
1/1/1976,Montreal,Judo,Judo,open category,M,Uemura,Haruki,Men,Japan,Gold
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Delibasic,Mirza,Men,Yugoslavia,Silver
1/1/1976,Montreal,Aquatics,Swimming,200m freestyle,W,Ender,Kornelia,Women,East Germany,Gold
1/1/1976,Montreal,Football,Football,football,M,Blokhin,Oleg,Men,Soviet Union,Bronze
1/1/1976,Montreal,Rowing,Rowing,eight with coxswain (8+),W,Lehmann,Helma,Women,East Germany,Gold
1/1/1976,Montreal,Aquatics,Swimming,100m butterfly,M,Vogel,Matthew Haynes,Men,United States,Gold
1/1/1976,Montreal,Handball,Handball,handball,W,Voss,Christina,Women,East Germany,Silver
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Szivos,Istvan,Men,Hungary,Gold
1/1/1976,Montreal,Handball,Handball,handball,M,Klempel,Jerzy,Men,Poland,Bronze
1/1/1976,Montreal,Fencing,Fencing,foil team,M,Sens-gorius,Erk,Men,West Germany,Gold
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single),M,Yurchenko,Vasili,Men,Soviet Union,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,pommel horse,M,Andrianov,Nikolay,Men,Soviet Union,Bronze
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),W,Yordanova,Reni,Women,Bulgaria,Silver
1/1/1976,Montreal,Shooting,Shooting,50m running target (30+30 shots),,Greszkiewicz,Jerzy,Men,Poland,Bronze
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Christensen,John Hansen,Men,New Zealand,Gold
1/1/1976,Montreal,Rowing,Rowing,double sculls (2x),M,Schmied,Hans-Ulrich,Men,East Germany,Bronze
1/1/1976,Montreal,Modern Pentathlon,Modern Pentath.,Team competition,M,Parker,Adrian Philip,Men,United Kingdom,Gold
1/1/1976,Montreal,Aquatics,Swimming,4x100m medley relay,W,Cook-hogg,Wendy,Women,Canada,Bronze
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Kicanovic,Dragan,Men,Yugoslavia,Silver
1/1/1976,Montreal,Handball,Handball,handball,W,Laki,Katalin,Women,Hungary,Bronze
1/1/1976,Montreal,Football,Football,football,M,Szymanowski,Antoni,Men,Poland,Silver
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Bell,David,Men,Australia,Silver
1/1/1976,Montreal,Aquatics,Swimming,800m freestyle,W,Babashoff,Shirley Farber,Women,United States,Silver
1/1/1976,Montreal,Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight),M,Frgic,Ivan,Men,Yugoslavia,Silver
1/1/1976,Montreal,Athletics,Athletics,10000m,M,Viren,Lasse,Men,Finland,Gold
1/1/1976,Montreal,Weightlifting,Weightlifting,"- 52kg, total (flyweight)",M,Voronin,Aleksandr,Men,Soviet Union,Gold
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Perez vento machado,Jorge,Men,Cuba,Bronze
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,Morozov,Vladimir,Men,Soviet Union,Gold
1/1/1976,Montreal,Fencing,Fencing,foil individual,M,Talvard,Bernard,Men,France,Bronze
1/1/1976,Montreal,Handball,Handball,handball,W,Lelkes,Rozalia,Women,Hungary,Bronze
1/1/1976,Montreal,Boxing,Boxing,57 - 60kg (lightweight),M,Solomin,Vasili,Men,Soviet Union,Bronze
1/1/1976,Montreal,Equestrian,Eventing,individual,,Schultz,Karl,Men,West Germany,Bronze
1/1/1976,Montreal,Sailing,Sailing,470 - Two Person Dinghy,M,Ruff,Ian,Men,Australia,Bronze
1/1/1976,Montreal,Fencing,Fencing,épée team,M,Hehn,Hans-Jürgen,Men,West Germany,Silver
1/1/1976,Montreal,Aquatics,Swimming,4x200m freestyle relay,M,Dunne,David Michael,Men,United Kingdom,Bronze
1/1/1976,Montreal,Athletics,Athletics,marathon,M,Shorter,Frank Charles,Men,United States,Silver
1/1/1976,Montreal,Athletics,Athletics,shot put,W,Christova-todorova,Ivanka Mikailova,Women,Bulgaria,Gold
1/1/1976,Montreal,Gymnastics,Artistic G.,horizontal bar,M,Tsukahara,Mitsuo,Men,Japan,Gold
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single),W,Korshunova,Tatyana,Women,Soviet Union,Silver
1/1/1976,Montreal,Rowing,Rowing,double sculls (2x),M,Hansen,Frank,Men,Norway,Gold
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Patel,Mohan,Men,New Zealand,Gold
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double),M,Romanovsky,Vladimir,Men,Soviet Union,Gold
1/1/1976,Montreal,Sailing,Sailing,470 - Two Person Dinghy,M,Gorostegui ceballos,Antonio,Men,Spain,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,individual all-round,W,Comaneci,Nadia,Women,Romania,Gold
1/1/1976,Montreal,Rowing,Rowing,pair without coxswain (2-),W,Gruitcheva-kubatova,Stoyanka,Women,Bulgaria,Gold
1/1/1976,Montreal,Athletics,Athletics,triple jump,M,De oliveira,Joao Carlos,Men,Brazil,Bronze
1/1/1976,Montreal,Rowing,Rowing,four without coxswain (4-),M,Arnemann,Raul,Men,Soviet Union,Bronze
1/1/1976,Montreal,Handball,Handball,handball,W,Megyeri,Marta,Women,Hungary,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Shirai,Takako,Women,Japan,Gold
1/1/1976,Montreal,Rowing,Rowing,eight with coxswain (8+),W,Ahrenholz,Brigitte,Women,East Germany,Gold
1/1/1976,Montreal,Boxing,Boxing,48 - 51kg (flyweight),M,Duvalon carrion,Ramon,Men,Cuba,Silver
1/1/1976,Montreal,Handball,Handball,handball,M,Sokolowski,Andrzej,Men,Poland,Bronze
1/1/1976,Montreal,Weightlifting,Weightlifting,"60 - 67.5kg, total (lightweight)",M,Korol,Pyotr,Men,Soviet Union,Gold
1/1/1976,Montreal,Football,Football,football,M,Matvienko,Viktor,Men,Soviet Union,Bronze
1/1/1976,Montreal,Rowing,Rowing,pair without coxswain (2-),W,Kelbetcheva-barbulova,Siika,Women,Bulgaria,Gold
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),M,Wenzel,Hartmut,Men,West Germany,Bronze
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls without coxswain (4x),M,Reiche,Rüdiger,Men,East Germany,Gold
1/1/1976,Montreal,Handball,Handball,handball,M,Cosma,Adrian,Men,Romania,Silver
1/1/1976,Montreal,Shooting,Shooting,50m pistol (60 shots),,Potteck,Uwe,Men,East Germany,Gold
1/1/1976,Montreal,Boxing,Boxing,60 - 63.5kg (light-welterweight),M,Aldama cabrera,Andres,Men,Cuba,Silver
1/1/1976,Montreal,Aquatics,Swimming,100m backstroke,M,Matthes,Roland,Men,East Germany,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Yu,Kyung-Hwa,Women,"Korea, South",Bronze
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double),M,Gronowicz,Andrzej,Men,Poland,Silver
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,Zirzow,Carola,Women,East Germany,Bronze
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Castagnola,Luigi,Men,Italy,Silver
1/1/1976,Montreal,Athletics,Athletics,4x100m relay,M,Hampton,Millard Frank Jr.,Men,United States,Gold
1/1/1976,Montreal,Athletics,Athletics,4x100m relay,W,Besfamilnaya,Nadezhda,Women,Soviet Union,Bronze
1/1/1976,Montreal,Modern Pentathlon,Modern Pentath.,Individual competition,M,Bartu,Jan,Men,Czechoslovakia,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Marshall steward,Leonel,Men,Cuba,Bronze
1/1/1976,Montreal,Sailing,Sailing,single-handed dinghy (Finn),M,Bertrand,John Edwin,Men,Australia,Bronze
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Hoepelman,Andries,Men,Netherlands,Bronze
1/1/1976,Montreal,Football,Football,football,M,Wawrowski,Henryk,Men,Poland,Silver
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Ford,Philip Jackson,Men,United States,Gold
1/1/1976,Montreal,Basketball,Basketball,basketball,W,Marquis,Gail Annette,Women,United States,Silver
1/1/1976,Montreal,Sailing,Sailing,fleet/match race keelboat open (Soling),,Engelhardt,Olaf,Men,East Germany,Bronze
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,Romanovsky,Vladimir,Men,Soviet Union,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,vault,M,Tsukahara,Mitsuo,Men,Japan,Silver
1/1/1976,Montreal,Equestrian,Jumping,team,,Roguet,Marc,Men,France,Gold
1/1/1976,Montreal,Aquatics,Swimming,200m backstroke,M,Harrigan,Daniel Lee,Men,United States,Bronze
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,De zwarte,Pieter,Men,Netherlands,Bronze
1/1/1976,Montreal,Football,Football,football,M,Lauck,Reinhard,Men,East Germany,Gold
1/1/1976,Montreal,Aquatics,Swimming,100m freestyle,M,Montgomery,James Paul,Men,United States,Gold
1/1/1976,Montreal,Gymnastics,Artistic G.,team competition,M,Tsukahara,Mitsuo,Men,Japan,Gold
1/1/1976,Montreal,Handball,Handball,handball,W,Nagy,Marianna,Women,Hungary,Bronze
1/1/1976,Montreal,Sailing,Sailing,fleet/match race keelboat open (Soling),,Glasgow,Walter Merrill,Men,United States,Silver
1/1/1976,Montreal,Equestrian,Eventing,team,,Roycroft,Wayne,Men,Australia,Bronze
1/1/1976,Montreal,Fencing,Fencing,foil team,W,Schwarczenberger,Ildiko,Women,Hungary,Bronze
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls without coxswain (4x),M,Wolfgramm,Michael,Men,East Germany,Gold
1/1/1976,Montreal,Wrestling,Wrestling Free.,62 - 68kg (lightweight),M,Pinigin,Pavel,Men,Soviet Union,Gold
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Martinez hernandez,Ernesto,Men,Cuba,Bronze
1/1/1976,Montreal,Aquatics,Swimming,200m breaststroke,W,Yurchenya,Marina,Women,Soviet Union,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,vault,W,Dombeck,Carola,Women,East Germany,Silver
1/1/1976,Montreal,Modern Pentathlon,Modern Pentath.,Team competition,M,Bartu,Jan,Men,Czechoslovakia,Silver
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Sheppard,Steven,Men,United States,Gold
1/1/1976,Montreal,Equestrian,Jumping,team,,Winkler,Hans Günter,Men,West Germany,Silver
1/1/1976,Montreal,Fencing,Fencing,foil team,M,Bach,Thomas,Men,West Germany,Gold
1/1/1976,Montreal,Athletics,Athletics,5000m,M,Viren,Lasse,Men,Finland,Gold
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,Ramos misione,Luis Gregorio,Men,Spain,Silver
1/1/1976,Montreal,Sailing,Sailing,flying dutchman,,Brooke-houghton,Julian,Men,United Kingdom,Silver
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Veer,Jan Evert,Men,Netherlands,Bronze
1/1/1976,Montreal,Rowing,Rowing,coxless pair (2-),M,Strauss,Thomas,Men,West Germany,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Vilches more,Raul,Men,Cuba,Bronze
1/1/1976,Montreal,Gymnastics,Artistic G.,team competition,M,Tikhonov,Vladimir,Men,Soviet Union,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,individual all-round,M,Kato,Sawao,Men,Japan,Silver
1/1/1976,Montreal,Weightlifting,Weightlifting,"75 - 82.5kg, total (light-heavyweight)",M,Stoitchev,Trendafil,Men,Bulgaria,Silver
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,Rajnai,Klara,Women,Hungary,Silver
1/1/1976,Montreal,Aquatics,Swimming,200m breaststroke,W,Koshevaya,Marina,Women,Soviet Union,Gold
1/1/1976,Montreal,Rowing,Rowing,eight with coxswain (8+),M,Wendisch,Dieter,Men,East Germany,Gold
1/1/1976,Montreal,Fencing,Fencing,sabre individual,M,Krovopuskov,Viktor,Men,Soviet Union,Gold
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),M,Eshinov,Vladimir,Men,Soviet Union,Gold
1/1/1976,Montreal,Aquatics,Swimming,4x100m medley relay,W,Wright,Camille,Women,United States,Silver
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Garcia campos,Victor,Men,Cuba,Bronze
1/1/1976,Montreal,Modern Pentathlon,Modern Pentath.,Individual competition,M,Lednev,Pavel,Men,Soviet Union,Silver
1/1/1976,Montreal,Athletics,Athletics,high jump,M,Joy,Gregory,Men,Canada,Silver
1/1/1976,Montreal,Rowing,Rowing,four without coxswain (4-),M,Decker,Andreas,Men,East Germany,Gold
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Bosek,Ryszard,Men,Poland,Gold
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Kato,Kiyomi,Women,Japan,Gold
1/1/1976,Montreal,Athletics,Athletics,110m hurdles,M,Casanas ramirez,Alejandro,Men,Cuba,Silver
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Molnar,Endre,Men,Hungary,Gold
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),W,Krokhina,Lyudmila,Women,Soviet Union,Bronze
1/1/1976,Montreal,Rowing,Rowing,coxless pair (2-),M,Coffey,Calvin Thomas,Men,United States,Silver
1/1/1976,Montreal,Boxing,Boxing,63.5 - 67kg (welterweight),M,Gamarro,Pedro José,Men,Venezuela,Silver
1/1/1976,Montreal,Aquatics,Swimming,100m butterfly,M,Hall,Gary Wayne,Men,United States,Bronze
1/1/1976,Montreal,Gymnastics,Artistic G.,floor exercises,W,Comaneci,Nadia,Women,Romania,Bronze
1/1/1976,Montreal,Handball,Handball,handball,M,Kuchta,Zygfryd,Men,Poland,Bronze
1/1/1976,Montreal,Aquatics,Diving,10m platform,W,Vaytsekhovskaya,Elena,Women,Soviet Union,Gold
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Miloserdov,Valeri,Men,Soviet Union,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Bergen,Larisa,Women,Soviet Union,Silver
1/1/1976,Montreal,Football,Football,football,M,Croy,Jürgen,Men,East Germany,Gold
1/1/1976,Montreal,Gymnastics,Artistic G.,team competition,W,Trusca,Gabriela,Women,Romania,Silver
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Arzamaskov,Vladimir,Men,Soviet Union,Bronze
1/1/1976,Montreal,Judo,Judo,- 63kg (lightweight),M,Mariani,Felice,Men,Italy,Bronze
1/1/1976,Montreal,Boxing,Boxing,+ 81kg (heavyweight),M,Hill,Clarence,Men,Bermuda*,Bronze
1/1/1976,Montreal,Handball,Handball,handball,W,Matz,Evelyn,Women,East Germany,Silver
